MSN,YYYYMM,Value,Column_Order,Description,Unit
"""ELETPUS""","""198012""",195848.927,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198101""",206758.205,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198102""",179859.91,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198103""",185833.882,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198104""",172841.342,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198105""",178138.553,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198106""",203020.751,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198107""",220654.747,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198108""",210639.415,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198109""",187051.489,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198110""",181557.59,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198111""",175791.753,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198112""",195825.699,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198201""",209694.373,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198202""",180545.573,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198203""",187967.965,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198204""",172876.502,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
"""ELETPUS""","""198205""",177479.981,"""13""","""Electricity Net Generation Total (including from sources not shown)"," All Sectors""","""Million Kilowatthours"""
