COAL,NATURALGAS,ELECTRICITY,PETRO_INDUSTRIAL,PETRO_RESIDENTIAL_COMMERCIAL,PETRO_TRANSPORTATION_ELECTRICPOWER,CO2
71012.59700000001,2072.672,239514.03100000002,4267.522,514.909,498.56199999999995,427.591
73820.015,1977.102,247733.163,4245.581,473.806,494.48800000000006,441.684
68950.957,1741.3339999999998,233405.563,4352.5,432.06800000000004,384.025,410.597
70614.019,1476.109,242411.928,4357.587,365.469,302.442,400.342
74056.109,1329.8239999999998,261076.926,4676.369000000001,372.62800000000004,442.881,395.6
84516.155,1393.796,293616.745,4689.207,350.08,494.221,428.43699999999995
81115.988,1338.4820000000002,281927.43,4651.316,348.725,413.10699999999997,416.085
76176.47,1316.4279999999999,259925.035,4612.542,441.439,411.356,397.75300000000004
73631.88799999999,1420.942,244993.925,4859.979,415.76300000000003,397.41,411.714
73551.673,1719.099,244161.99899999998,4654.244000000001,465.56800000000004,411.42400000000004,417.945
80713.784,2162.025,267342.791,4590.91,567.8009999999999,381.577,474.98900000000003
80663.12,2316.258,271020.902,4028.4840000000004,508.89300000000003,424.724,462.04699999999997
74794.963,2198.866,248015.328,4353.521,534.51,454.096,439.11300000000006
78172.646,2178.04,261247.551,4510.995,508.741,497.52099999999996,465.10900000000004
70048.053,1712.6889999999999,234695.12699999998,4156.859,421.089,318.53,408.353
70336.817,1330.112,244325.583,4060.3779999999997,356.024,315.622,390.20300000000003
78621.11,1344.31,275359.6,4431.11,365.574,473.93300000000005,405.185
89450.433,1423.693,312224.835,4554.111,346.543,665.956,437.684
88607.984,1447.1529999999998,311450.19,4378.302,373.73,690.084,438.284
76788.272,1332.539,264032.481,4794.427,357.809,586.128,406.49199999999996
76082.939,1537.474,250552.792,4855.108,301.811,444.051,417.658
76934.94099999999,1807.45,252102.138,4793.397,359.341,455.449,434.69
83580.006,2161.259,272164.57,4349.306,463.87699999999995,595.899,480.707
88402.06800000001,2557.263,289768.406,4743.665,583.615,885.447,509.348
76903.91,2330.159,249172.29,4683.999,574.712,643.251,460.79400000000004
77654.016,2071.776,257998.052,4271.905,468.463,479.306,452.916
70555.787,1671.515,240636.581,4507.503,367.55800000000005,471.316,413.597
73719.808,1435.3570000000002,252744.93600000002,4432.81,350.06699999999995,414.899,408.466
83932.66900000001,1447.6629999999998,294161.782,4676.737,333.336,615.581,428.05800000000005
87617.70800000001,1455.796,311256.82300000003,4683.184,298.509,560.4630000000001,435.256
86743.14300000001,1486.83,307604.584,4922.521,329.213,367.20099999999996,442.645
