"COAL, Thousand Short Tons","NATURALGAS, Billion Cubic Feet","ELECTRICITY, Million Kilowatthours","PETRO_INDUSTRIAL, Thousand Barrels per Day","PETRO_COMMERCIAL, Thousand Barrels per Day","PETRO_RESIDENTIAL, Thousand Barrels per Day","PETRO_TRANSPORTATION, Thousand Barrels per Day","PETRO_ELECTRICPOWER, Thousand Barrels per Day","CO2, Million Metric Tons"
-1.485151289589594,-1.2617699832080675,-1.5726365687807888,-1.8211932467627363,-0.19252397527750756,-0.13674377601963772,-1.4488817033740353,1.6586620022884242,-2.000557746596555
-1.3304985957862376,-1.1474317672612004,-1.372395492462576,-1.0854295815943962,-0.457518979537997,-0.39616666318263766,-1.516080819151948,1.7995827703685294,-1.7270367362804533
-1.2404967214888756,-1.0330935513143333,-1.332256816749011,-1.4526808213982565,-0.3084780859521274,-0.2659212824580446,-1.5180623471648866,2.126567827766305,-1.5968541746145366
-1.5332849576593142,-1.0310517974581392,-1.6742423661471304,-1.0845216992892968,0.1326350515530632,0.20458318717700805,-1.594475540504783,1.3891014589229096,-1.9324912113225396
-1.4878915080795663,-0.6757866264803736,-1.6777764958952446,-0.5129733872876809,0.42173154271174895,0.5835891772247771,-1.5202854033337225,1.372539722096742,-1.4508440689152344
-1.427742946247306,-0.4797782562857442,-1.707836581604451,-1.5283626611948173,0.8628763371612018,1.2010486728026253,-1.7949760397911005,1.42343025092373,-1.5016257926745291
-1.1311263377359253,0.35529907089762475,-1.4761249040496685,-0.5734481984738263,2.7241041657911422,3.0481654089233996,-1.482060802844813,1.9595753196706154,-0.07487996914317208
-1.0196904363150021,0.8494035040965863,-1.3507214730818335,-0.4073699735961669,3.5846296055098685,3.838465297227026,-1.7113203255562734,2.5790240400488353,0.40814348144094903
-1.3764807703256647,0.1286643928600845,-1.6529472528868274,-0.6762979880041206,2.686559029896316,2.7610742283057657,-1.7455081928524818,1.9120398006796147,-0.7691262452163306
-1.2729441051278492,-0.3143961939340257,-1.54820308674972,-1.077939552577326,1.7379428666109766,1.8732943531246127,-1.409361381883655,1.76857171031663,-0.7382605103686121
-1.401149377147547,-0.7492897653033596,-1.701799903586635,-1.2745967095283959,0.6114516096743904,0.766419134033003,-1.2846087655811977,1.603438954586815,-1.373285055186412
-1.3855424864162205,-0.9003795506617197,-1.6431908741238266,-1.1171219542306654,0.27749195233896157,0.32672072062300556,-1.5066102564152384,1.3617374188223523,-1.522978809241311
-1.2851826176813461,-1.1025131824249312,-1.4196335819273525,-0.8146022945340298,0.11482802040564356,0.042292169282822534,-1.1606089858931057,1.8443970036036743,-1.5087299716460365
-1.098010019948644,-1.026968289745751,-1.2378563799436302,-0.7599794699984437,-0.2731964215720399,-0.28287555086074767,-1.2162878733911517,1.9872106599492683,-1.2709929739271553
-1.075337614211967,-1.1392647518364243,-1.2385873249560972,-0.32454926680620516,-0.25309426196561946,-0.25336082279233535,-1.3513104219921497,2.110057865783285,-1.3207019869015784
-1.3288382597566866,-1.169891059679335,-1.5374399828838652,-0.15933824082846335,0.05548180222899914,0.10040428847776918,-1.2778559485619836,1.6464182873807962,-1.584912677198043
-1.2318671564298673,-0.5185715795534312,-1.5545879774534386,-0.05726357722846646,0.6707978278510354,0.886300959460383,-1.4150666536212166,1.6522854126063222,-0.9715852259912291
-1.0847600095298242,3.3899919858972584e-05,-1.480062894043571,0.06247839037949118,2.449474898160227,2.607361486891139,-1.2767640861875071,2.4437819367651983,-0.24928655090237392
-0.8313428351305704,0.728940026581137,-1.273422404195472,0.8667250738591463,3.812042540773893,3.954059160487629,-1.093446431716774,2.807636895465495,0.9425760903943842
-0.8169041326911551,1.086246951415097,-1.0985749083606275,-0.07804637358057942,5.111275190233892,5.025901516983531,-1.5614127734026693,3.9020390329708947,1.1504593445720288
-1.1954609804257386,-0.12042957759559034,-1.5693950739799705,1.332755621443312,4.000902594084081,3.7746986190365046,-1.1766894430246686,2.5901162824448525,-0.2732302652137509
-1.1758781138066379,-0.32664671707119,-1.4787938224645358,-0.056871731799616514,1.6624621591754252,1.6760763192049362,-1.2484072403797517,2.084365117619543,-0.49348005315661314
-1.406042370650856,-0.8901707813807495,-1.650830886114905,-0.30756501575891765,0.6639124424740335,0.6573877581258318,-1.0912521816582752,1.9014093898844764,-1.2611159387758868
-1.2434630634866615,-1.0126760127523928,-1.476570266064085,-0.4395376997035017,0.40631988701349364,0.28848658731474597,-1.3277065843898788,2.0811467933694665,-1.255205909546028
-1.0898583898153464,-1.1065966901373192,-1.3168916666626966,0.5382044357879275,0.1402063373890772,-0.018214434545025613,-0.9518533201408057,2.322902174970803,-1.12575198162078
-0.8412719987426,-1.1229307209868717,-1.0636287434653195,-0.11995884584477319,-0.13220694414349254,-0.23174695315409508,-1.1479680891284267,3.002977165681553,-0.900685115059062
-0.90959723787672,-1.0433023205953036,-1.1027923370799708,0.5623339775241694,0.0041078578490212295,-0.13047060262479737,-1.0127904307025428,2.6144794526365547,-0.8292385288213934
-1.1590953458851432,-0.9146718276550782,-1.3802007434940897,0.48537168108032114,0.23638541021465123,0.104036001909203,-1.0717404736147356,1.9955940425517846,-1.1160773447308066
-1.1803688963822163,-0.728872226741419,-1.5177804749922819,0.7502420611293976,0.8445786233777202,0.8515621151152778,-1.1874191651612678,1.5021528644333335,-0.8973455437476692
-1.1490588289436698,-0.3776905634760414,-1.507407965329081,0.7261767563487067,1.2730922970666032,1.3873527492599624,-1.0947089148986273,1.808891887166532,-0.6541640327999128
-0.9717302926991137,0.475762548413074,-1.2672060341323321,0.6131068671904878,3.0115650481629537,3.06261228968497,-0.9677781134838203,2.6296909015534236,0.5420299312885907
-0.9664507573107327,1.0352031050102455,-1.078432125499774,0.5349626107645296,2.862344765226266,3.153694439429401,-1.3462189419902137,3.47835306552882,0.7588187089632826
-1.4804776044342793,0.5390569179550898,-1.4186279879292278,0.988132919847688,3.2734312910988743,3.461359841151146,-1.0377647744004268,3.831610749333594,-0.03946027341628284
-1.6086551498208714,0.08782931573620338,-1.42260562244572,0.08425043584706535,2.245424787761617,2.2684548819334474,-0.9215587094492772,3.1406319766558854,-0.20073120801734118
-1.4341384786182225,-0.6859953957613438,-1.6103956096053593,-0.053602070762145265,0.49957069249482533,0.6148727190888098,-1.0135759511728653,1.8140755844625056,-1.1269663711885591
-1.251651973126657,-1.0106342588961987,-1.3934518728034782,0.40800040935280824,0.5001088605472805,0.40354180914024684,-0.780028195766924,1.6811737040891555,-0.9418731612329011
-1.0548516515431137,-1.27810401405762,-1.2114032475772192,0.3234431635311592,0.18600865957892893,0.016886640284821078,-0.713022967270122,2.0370304850199568,-1.1587833778643706
-0.8564946775580223,-1.1065966901373192,-1.0108499025678717,0.1303982647138225,-0.13148938674021893,-0.23647241447776715,-0.9755574251655936,2.255634227759254,-0.9262884951130702
-0.7484056021001197,-1.204600875234634,-0.9590221811061598,0.3538165373468101,0.38247165566939395,0.15139410957013777,-0.7125210761938781,2.5949582657760497,-0.6587179936790836
-0.925010216923989,-1.3066885680443368,-1.2502703521099376,0.47220310519267583,0.453583704796778,0.298375009118986,-1.017422120866418,2.0440697926943527,-1.169611684843733
-1.0427453064907064,-0.8881290275245554,-1.3869656434944662,0.6815427784010667,0.9956719421832476,0.9300649880259615,-0.9504019353507865,1.782985826649021,-0.7924830045699477
-1.0338803562964392,-0.4430266868742512,-1.3817154044421887,0.6996211989245461,1.5531982160548585,1.5910039025028053,-0.8345891845984587,2.0616338904838654,-0.4423542523531145
-0.7398202482060858,0.39613414802150587,-1.1622495275195337,0.5093513365869461,2.618486047418091,2.704084082755116,-0.9049281664030243,2.742508284772819,0.5746767708357188
