MSN,YYYYMM,Value,Column_Order,Description,Unit
"""PAEIZUS""","""198111""",774.673,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198112""",870.059,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198201""",1143.53,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198202""",922.098,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198203""",740.081,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198204""",636.619,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198205""",548.081,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198206""",588.603,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198207""",740.832,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198208""",644.815,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198209""",583.711,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198210""",546.563,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198211""",533.542,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198212""",617.533,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198301""",707.138,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198302""",763.638,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198303""",683.926,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198304""",584.976,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198305""",498.247,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198306""",634.188,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198307""",804.525,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198308""",815.624,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198309""",655.084,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198310""",547.483,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198311""",528.357,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198312""",889.63,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198401""",872.218,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198402""",593.556,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198403""",592.95,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198404""",430.418,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198405""",466.196,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198406""",646.817,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198407""",574.917,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198408""",708.339,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198409""",444.61,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198410""",435.883,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198411""",531.889,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198412""",443.405,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198501""",682.13,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198502""",576.632,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198503""",399.518,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198504""",351.704,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198505""",389.503,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198506""",440.772,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198507""",465.959,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198508""",553.617,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198509""",436.427,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198510""",424.055,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198511""",402.107,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198512""",617.299,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198601""",613.504,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198602""",576.832,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198603""",552.685,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198604""",518.226,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198605""",571.607,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198606""",656.171,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198607""",893.493,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198608""",836.764,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198609""",612.178,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198610""",539.154,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198611""",596.731,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198612""",650.708,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198701""",662.116,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198702""",635.752,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198703""",551.796,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198704""",448.17,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198705""",443.776,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198706""",597.325,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198707""",690.631,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198708""",621.719,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198709""",436.457,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198710""",374.396,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198711""",547.975,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198712""",604.503,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198801""",878.114,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198802""",677.677,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198803""",523.758,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198804""",420.069,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198805""",393.095,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198806""",561.649,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198807""",768.186,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198808""",887.328,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198809""",558.423,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198810""",710.64,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198811""",818.457,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198812""",991.463,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198901""",838.19,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198902""",1069.901,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198903""",912.867,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198904""",652.389,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198905""",559.015,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198906""",724.796,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198907""",688.404,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198908""",617.672,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198909""",587.309,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198910""",462.359,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198911""",653.762,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""198912""",1225.241,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""199001""",654.658,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""199002""",590.761,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""199003""",574.227,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""199004""",591.252,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""199005""",536.608,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""199006""",772.802,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""199007""",732.564,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""199008""",622.839,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""199009""",474.581,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""199010""",414.414,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
"""PAEIZUS""","""199011""",368.594,"""13""","""Total Petroleum Consumed by the Electric Power Sector""","""Thousand Barrels per Day"""
