Year,"COAL, Thousand Short Tons","NATURALGAS, Billion Cubic Feet","ELECTRICITY, Million Kilowatthours","PETRO_INDUSTRIAL, Thousand Barrels per Day","PETRO_RESIDENTIAL_COMMERCIAL, Thousand Barrels per Day","PETRO_TRANSPORTATION_ELECTRICPOWER, Thousand Barrels per Day",CO2_ based on LCA calculation (Million Metric Tons)
198803,69653.994,1866.947,214293.615,4382.683,631.591,523.758,337.8849313
198804,64152.338,1463.656,196297.111,3928.137,489.73,420.069,298.3349836
198805,66506.652,1302.434,208703.604,4097.361,441.406,393.095,300.1770835
198806,75076.25,1170.361,233065.853,4301.638,410.749,561.649,322.7553576
198807,81993.87,1176.486,257742.125,4178.727,432.469,768.186,347.93795
198808,85300.987,1222.415,267928.593,4617.137,448.228,887.328,361.8475132
198809,71377.027,1098.633,220392.242,4570.368,455.722,558.423,306.0089544
198810,70248.363,1231.925,210813.885,4681.234,508.124,710.64,306.7087067
198811,70008.168,1452.505,209814.992,4421.254,558.259,818.457,316.6879131
198812,78191.217,1819.933,232987.639,4500.388,645.072,991.463,362.529983
198901,77972.523,2041.11,246766.176,4202.525,642.835,838.19,377.411461
198902,73707.444,2029.521,233782.777,4263.22,615.156,1069.901,362.4191787
198903,73129.833,1971.375,241946.41,4352.565,593.991,912.867,361.0952902
198904,66694.322,1609.047,222868.586,4021.31,466.898,652.389,320.8719076
198905,68795.624,1378.679,234824.77,4106.481,414.327,559.015,318.6538086
198906,73767.343,1231.45,250919.11,4382.802,419.72,724.796,329.1049717
198907,80039.787,1257.991,273457.735,4108.946,379.111,688.404,352.8056694
198908,80599.391,1252.297,275419.519,4417.084,445.934,617.672,354.8378474
198909,72790.488,1212.562,242793.798,4432.97,447.516,587.309,322.7606316
198910,71558.601,1367.713,235669.018,4488.582,476.393,462.359,325.176863
198911,72019.256,1590.227,234249.81,4132.129,550.17,653.762,336.7424714
198912,83925.271,2177.029,274448.378,4101.901,718.975,1225.241,408.4474486
199001,77917.507,2164.199,255187.021,4228.989,565.952,654.658,386.232846
199002,69138.38,1864.019,229499.204,3987.454,578.327,590.761,341.7400432
199003,72120.262,1829.32,244761.483,4202.167,501.224,574.227,352.4114606
199004,68396.59,1631.8,229769.727,4286.338,458.455,591.252,328.4917644
199005,69683.12,1420.835,241773.529,4322.645,425.694,536.608,325.3978888
199006,75714.409,1321.763,268992.258,4364.604,437.103,772.802,344.4036539
199007,82114.088,1313.951,287447.762,4482.276,417.147,732.564,365.5909871
199008,83806.284,1342.953,290655.259,4790.998,458.519,622.839,372.4723989
199009,77368.112,1304.567,258356.632,4533.681,456.937,474.581,343.4880177
199010,75716.732,1426.626,244372.25,4466.779,481.015,414.414,340.8401772
199011,72438.484,1574.002,231242.377,4102.061,525.871,368.594,335.6784476
199012,80083.601,1979.52,255769.835,3848.521,567.114,457.119,382.2962563
199101,82810.979,2331.248,269214.313,4308.316,615.866,520.186,410.9329402
199102,69163.308,1939.65,228290.131,3857.97,545.666,533.429,344.8232372
199103,70078.844,1876.365,240561.216,3739.556,494.966,483.374,348.1512351
199104,65017.029,1583.035,227798.971,3966.853,438.732,459.952,317.2104874
199105,70901.257,1383.932,254873.018,3939.634,397.404,606.243,330.8244249
199106,75581.345,1247.821,269099.254,4248.526,400.552,632.852,340.3909116
199107,82301.26,1345.751,294647.834,4404.157,404.777,616.97,370.1057394
199108,82276.459,1336.122,292158.58,4461.708,400.52,645.748,368.7670583
199109,74643.435,1280.641,256027.328,4741.44,391.885,496.31,335.1701252
199110,72948.511,1468.429,245378.242,4531.149,450.323,359.84,336.7461581
199111,75197.695,1728.204,241661.365,4300.731,466.713,455.815,353.4691248
199112,78306.681,2040.869,254088.633,4107.546,553.966,495.65,380.7534738
199201,79495.144,2280.417,267772.67,4290.674,567.589,577.128,400.1344991
199202,71012.597,2072.672,239514.031,4267.522,514.909,498.562,359.8841444
199203,73820.015,1977.102,247733.163,4245.581,473.806,494.488,364.6705109
199204,68950.957,1741.334,233405.563,4352.5,432.068,384.025,336.4872146
199205,70614.019,1476.109,242411.928,4357.587,365.469,302.442,330.4101135
199206,74056.109,1329.824,261076.926,4676.369,372.628,442.881,338.0401382
199207,84516.155,1393.796,293616.745,4689.207,350.08,494.221,377.3988338
199208,81115.988,1338.482,281927.43,4651.316,348.725,413.107,362.4599399
199209,76176.47,1316.428,259925.035,4612.542,441.439,411.356,341.9384696
199210,73631.888,1420.942,244993.925,4859.979,415.763,397.41,336.0244955
199211,73551.673,1719.099,244161.999,4654.244,465.568,411.424,350.1294283
199212,80713.784,2162.025,267342.791,4590.91,567.801,381.577,397.3370758
199301,80663.12,2316.258,271020.902,4028.484,508.893,424.724,405.5317138
199302,74794.963,2198.866,248015.328,4353.521,534.51,454.096,378.1770492
199303,78172.646,2178.04,261247.551,4510.995,508.741,497.521,389.8635603
199304,70048.053,1712.689,234695.127,4156.859,421.089,318.53,338.1327895
199305,70336.817,1330.112,244325.583,4060.378,356.024,315.622,323.2434507
199306,78621.11,1344.31,275359.6,4431.11,365.574,473.933,354.6075302
199307,89450.433,1423.693,312224.835,4554.111,346.543,665.956,397.1434628
199308,88607.984,1447.153,311450.19,4378.302,373.73,690.084,396.0342649
199309,76788.272,1332.539,264032.481,4794.427,357.809,586.128,345.8860759
199310,76082.939,1537.474,250552.792,4855.108,301.811,444.051,349.4824436
199311,76934.941,1807.45,252102.138,4793.397,359.341,455.449,365.5115863
199312,83580.006,2161.259,272164.57,4349.306,463.877,595.899,405.7784379
199401,88402.068,2557.263,289768.406,4743.665,583.615,885.447,442.8976759
199402,76903.91,2330.159,249172.29,4683.999,574.712,643.251,390.3689911
199403,77654.016,2071.776,257998.052,4271.905,468.463,479.306,382.1765146
199404,70555.787,1671.515,240636.581,4507.503,367.558,471.316,339.6245656
199405,73719.808,1435.357,252744.936,4432.81,350.067,414.899,339.6028404
199406,83932.669,1447.663,294161.782,4676.737,333.336,615.581,379.104001
199407,87617.708,1455.796,311256.823,4683.184,298.509,560.463,394.111006
199408,86743.143,1486.83,307604.584,4922.521,329.213,367.201,392.5089516
199409,77099.295,1408.841,266262.327,4889.889,345.672,315.287,351.1251727
199410,75461.363,1514.35,256528.49,4971.199,365.216,278.993,349.1121753
199411,73152.261,1748.263,251868.348,4500.635,411.528,282.26,353.4337173
199412,80043.874,2119.285,269519.769,4721.501,500.151,299.588,394.5539248
199501,83049.856,2432.305,279773.101,4371.168,494.187,276.373,420.3333966
199502,74907.849,2230.289,252307.149,4740.976,545.389,482.91,381.8187893
199503,74826.637,2143.331,261342.562,4293.077,429.26,207.631,380.2861291
199504,69517.601,1820.872,244735.923,4354.751,385.763,219.392,345.879659
199505,73073.84,1616.918,264288.242,4440.58,315.283,282.467,351.1488329
199506,79796.709,1458.521,286258.135,4800.168,308.32,304.395,367.215701
199507,90648.083,1591.74,330416.095,4463.885,273.121,456.884,414.6141788
