MSN,YYYYMM,Value,Column_Order,Description,Unit
"""PACCPUS""","""198804""",489.73,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198805""",441.406,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198806""",410.749,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198807""",432.469,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198808""",448.228,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198809""",455.722,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198810""",508.124,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198811""",558.259,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198812""",645.072,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198901""",642.835,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198902""",615.156,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198903""",593.991,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198904""",466.898,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198905""",414.327,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198906""",419.72,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198907""",379.111,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198908""",445.934,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198909""",447.516,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198910""",476.393,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198911""",550.17,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""198912""",718.975,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199001""",565.952,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199002""",578.327,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199003""",501.224,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199004""",458.455,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199005""",425.694,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199006""",437.103,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199007""",417.147,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199008""",458.519,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199009""",456.937,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199010""",481.015,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199011""",525.871,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199012""",567.114,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199101""",615.866,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199102""",545.666,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199103""",494.966,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199104""",438.732,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199105""",397.404,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199106""",400.552,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199107""",404.777,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
"""PACCPUS""","""199108""",400.52,"""11""","""Total Petroleum Consumed by the Commercial Sector""","""Thousand Barrels per Day"""
